date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:48:22	448/448	---MCZ	200	added ('OK')	text/plain	etag:cacheable:5397d5f474336ee897a5763f30139204	https://waffy-demo.myshopify.com/robots.txt		(from )
10:48:25	286784/286784	---MCZ	200	added ('OK')	text/html	etag:cacheable:692ea4780badb83d18c52a74c514ee77	https://waffy-demo.myshopify.com/	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/index.html	(from )
10:48:26	476/476	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Oct%202020%2005:18:25%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/favicon.png?v=440619350153876354	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/favicon2819.png	(from https://waffy-demo.myshopify.com/)
10:48:28	3817/3817	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Oct%202020%2005:18:27%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/logo.png?v=18397478205930643759	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/logo2966.png	(from https://waffy-demo.myshopify.com/)
10:48:32	375269/375269	---MCZ	200	added ('OK')	text/css	date:Fri,%2016%20Oct%202020%2005:18:30%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/frame.scss.css?v=10629389907692431463	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/frame.scss0d04.css	(from https://waffy-demo.myshopify.com/)
10:48:33	56667/56667	---M-Z	200	added ('OK')	text/css	date:Mon,%2027%20Jan%202020%2011:14:36%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/style.css?v=18136887774338056610	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/styled519.css	(from https://waffy-demo.myshopify.com/)
10:48:34	2896/2896	---M-Z	200	added ('OK')	text/css	date:Mon,%2027%20Jan%202020%2011:14:36%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/slick-theme.css?v=4038320318788921039	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/slick-theme47e2.css	(from https://waffy-demo.myshopify.com/)
10:49:24	23848/23848	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Jan%202020%2005:34:26%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/animate.css?v=17046942425478865338	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/animatea14e.css	(from https://waffy-demo.myshopify.com/)
10:49:25	54798/54798	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Jan%202020%2005:34:42%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/font-all.min.css?v=6399908540130464615	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/font-all.minfaed.css	(from https://waffy-demo.myshopify.com/)
10:49:27	95780/95780	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:fd37b93408ec7ff9a0b391fbf67a5944	https://waffy-demo.myshopify.com/POST	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/POST.9.delayed	(from https://waffy-demo.myshopify.com/)
10:49:28	73603/73603	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2015%20Oct%202020%2017:41:57%20GMT	https://cdn.shopify.com/s/javascripts/tricorder/trekkie.storefront.min.js?v=2020.07.13.1	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/javascripts/tricorder/trekkie.storefront.mindd82.js	(from https://waffy-demo.myshopify.com/)
10:49:29	101521/101521	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2015%20Sep%202020%2015:19:43%20GMT	https://cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	(from https://waffy-demo.myshopify.com/)
10:49:30	7922/7922	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2003%20Sep%202020%2019:58:54%20GMT	http://cdn.shopify.com/s/assets/shop_events_listener-d81deda6557a113fbcc6a993184828adcef6f241e4ca52b6a21169cb03169317.js	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/assets/shop_events_listener-d81deda6557a113fbcc6a993184828adcef6f241e4ca52b6a21169cb03169317.js	(from https://waffy-demo.myshopify.com/)
10:49:30	1362/1362	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2025%20Aug%202020%2019:16:27%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.1/index.js	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.1/index.js	(from https://waffy-demo.myshopify.com/)
10:49:31	9372/9372	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2015%20Oct%202020%2000:08:52%20GMT	http://cdn.shopify.com/s/assets/storefront/load_feature-24ff1222c9aa13bb217653c0d3ea28c40a796a280e6da29ad421eec2a6075c86.js	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/assets/storefront/load_feature-24ff1222c9aa13bb217653c0d3ea28c40a796a280e6da29ad421eec2a6075c86.js	(from https://waffy-demo.myshopify.com/)
10:49:31	37632/37632	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2011%20Jun%202020%2017:26:43%20GMT	http://cdn.shopify.com/s/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://waffy-demo.myshopify.com/)
10:49:32	7024/7024	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2023%20Jan%202020%2005:35:47%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/t/5/compiled_assets/scripts.js?1408	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/t/5/compiled_assets/scripts6d9c.js	(from https://waffy-demo.myshopify.com/)
10:49:35	5023/5023	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2023%20Jan%202020%2005:35:01%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/jquery.lazy.min.js?v=7241845374026364927	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/jquery.lazy.min7daa.js	(from https://waffy-demo.myshopify.com/)
10:49:37	11701/11701	---M--	200	added ('OK')	image/gif	date:Fri,%2016%20Oct%202020%2005:19:35%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/loading.gif?v=5083731268673326083	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/loadinga062.gif	(from https://waffy-demo.myshopify.com/)
10:49:38	99245/99245	---MCZ	200	added ('OK')	text/html	etag:cacheable:5d7673267eed0e680f0d7058c373015e	https://waffy-demo.myshopify.com/collections	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/collections.html	(from https://waffy-demo.myshopify.com/)
10:49:41	194733/194733	---MCZ	200	added ('OK')	text/html	etag:cacheable:5f044b3939ff271384aa57b8eb367753	https://waffy-demo.myshopify.com/collections/spicy-seeds	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/collections/spicy-seeds.html	(from https://waffy-demo.myshopify.com/)
10:49:42	344187/344187	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2023%20Jan%202020%2005:35:46%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/header.js?v=1736120199236689723	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/t/5/assets/headerbb1a.js	(from https://waffy-demo.myshopify.com/)
10:49:43	210723/210723	---MCZ	200	added ('OK')	text/html	etag:cacheable:d57c354ad073c7f58036dc733e17c741	https://waffy-demo.myshopify.com/products/fenugreek-dal	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/products/fenugreek-dal.html	(from https://waffy-demo.myshopify.com/)
10:49:44	201645/201645	---MCZ	200	added ('OK')	text/html	etag:cacheable:d004d4c6d8c483965a459ab0d9f39580	https://waffy-demo.myshopify.com/products/cubeb-pepper	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/products/cubeb-pepper.html	(from https://waffy-demo.myshopify.com/)
10:49:46	201175/201175	---MCZ	200	added ('OK')	text/html	etag:cacheable:16eb571cc099e781a84cf6da0f7efb8f	https://waffy-demo.myshopify.com/products/white-mustard-1-kg	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/products/white-mustard-1-kg.html	(from https://waffy-demo.myshopify.com/)
10:49:47	209401/209401	---MCZ	200	added ('OK')	text/html	etag:cacheable:310612096d4935722fac31308ead4d49	https://waffy-demo.myshopify.com/products/green-peppercorn	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/products/green-peppercorn.html	(from https://waffy-demo.myshopify.com/)
10:49:48	200466/200466	---MCZ	200	added ('OK')	text/html	etag:cacheable:1761b3d5bd2927fe8bcb94167629c74a	https://waffy-demo.myshopify.com/products/pimento-250-gm	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/products/pimento-250-gm.html	(from https://waffy-demo.myshopify.com/)
10:49:49	201882/201882	---MCZ	200	added ('OK')	text/html	etag:cacheable:cb8b3e3d3a73a08e977ffacd4a549894	https://waffy-demo.myshopify.com/products/saffron-500-gm	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/products/saffron-500-gm.html	(from https://waffy-demo.myshopify.com/)
10:49:50	212040/212040	---MCZ	200	added ('OK')	text/html	etag:cacheable:8e79f7a547d99b92a610f9d3f95d5559	https://waffy-demo.myshopify.com/products/barberry	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/products/barberry.html	(from https://waffy-demo.myshopify.com/)
10:49:51	201392/201392	---MCZ	200	added ('OK')	text/html	etag:cacheable:822d59c08164baf2b21ad890b95185e5	https://waffy-demo.myshopify.com/products/cardamom	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/products/cardamom.html	(from https://waffy-demo.myshopify.com/)
10:49:52	210625/210625	---MCZ	200	added ('OK')	text/html	etag:cacheable:c5022292f45ee8bdc3c73ed7204e66a3	https://waffy-demo.myshopify.com/products/black-mustard	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/products/black-mustard.html	(from https://waffy-demo.myshopify.com/)
10:49:53	200081/200081	---MCZ	200	added ('OK')	text/html	etag:cacheable:091df312b3aca22eef88df92896e483b	https://waffy-demo.myshopify.com/products/pippali-pepper	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/products/pippali-pepper.html	(from https://waffy-demo.myshopify.com/)
10:49:54	200098/200098	---MCZ	200	added ('OK')	text/html	etag:cacheable:59828723231cc3f1d39e6a389ae22903	https://waffy-demo.myshopify.com/products/red-paprika	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/products/red-paprika.html	(from https://waffy-demo.myshopify.com/)
10:49:55	203361/203361	---MCZ	200	added ('OK')	text/html	etag:cacheable:59db02d5ffea45c1d3c9141906cf467b	https://waffy-demo.myshopify.com/products/coriander-1-kg	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/products/coriander-1-kg.html	(from https://waffy-demo.myshopify.com/)
10:49:56	200561/200561	---MCZ	200	added ('OK')	text/html	etag:cacheable:07c6b011e70d23b788e1ac19a58b0482	https://waffy-demo.myshopify.com/products/black-cardamom	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/products/black-cardamom.html	(from https://waffy-demo.myshopify.com/)
10:49:58	209470/209470	---MCZ	200	added ('OK')	text/html	etag:cacheable:3417b7ee7ae151f6f89778bb959f0b45	https://waffy-demo.myshopify.com/products/dill-seeds-250-gm	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/products/dill-seeds-250-gm.html	(from https://waffy-demo.myshopify.com/)
10:50:00	209352/209352	---MCZ	200	added ('OK')	text/html	etag:cacheable:86b1a3bf9e82b1df6714cf0eb2caf314	https://waffy-demo.myshopify.com/products/sesame-seeds	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/products/sesame-seeds.html	(from https://waffy-demo.myshopify.com/)
10:50:01	32218/32218	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2005:19:58%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/products/3_large.jpg?v=1542090392	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/products/3_large8d51.jpg	(from https://waffy-demo.myshopify.com/)
10:50:02	19305/19305	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2005:20:01%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/files/menu1_2000x.jpg?v=1542965387	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/files/menu1_2000x6e79.jpg	(from https://waffy-demo.myshopify.com/)
10:50:04	216841/216841	---MCZ	200	added ('OK')	text/html	etag:cacheable:a12efffe46b651c7ac9dbb211ac58248	https://waffy-demo.myshopify.com/collections/all	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/collections/all.html	(from https://waffy-demo.myshopify.com/)
10:50:05	176759/176759	---MCZ	200	added ('OK')	text/html	etag:cacheable:c25040ada2e42e04bad7c19135050d6e	https://waffy-demo.myshopify.com/collections/roaster-seeds	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/collections/roaster-seeds.html	(from https://waffy-demo.myshopify.com/)
10:50:07	192236/192236	---MCZ	200	added ('OK')	text/html	etag:cacheable:45cd0e7849473edfae16f2075e7aca33	https://waffy-demo.myshopify.com/collections/dried-masalas	E:/Ansh%20Tech/Masala%20Company/waffy-demo.myshopify.com/collections/dried-masalas.html	(from https://waffy-demo.myshopify.com/)
10:50:07	14044/14044	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2005:20:06%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/files/menu2_2000x.jpg?v=1542965408	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/files/menu2_2000x132b.jpg	(from https://waffy-demo.myshopify.com/)
10:50:09	19545/19545	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Oct%202020%2005:20:08%20GMT	http://cdn.shopify.com/s/files/1/0012/3011/0804/files/menu3_2000x.jpg?v=1542965403	E:/Ansh%20Tech/Masala%20Company/cdn.shopify.com/s/files/1/0012/3011/0804/files/menu3_2000xee31.jpg	(from https://waffy-demo.myshopify.com/)
